STATE_UT,YEAR,POPULATION_IN_MILIONS,"AVERAGE_LITERACY_RATE_IN %",AREA(KM2),SEX_RATIO,MURDER,ATTEMPT_TO_MURDER,CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,RAPE,CUSTODIAL_RAPE,OTHER_RAPE,KIDNAPPING_&_ABDUCTION,KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,KIDNAPPING_AND_ABDUCTION_OF_OTHERS,DACOITY,PREPARATION_AND_ASSEMBLY_FOR_DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,OTHER_THEFT,RIOTS,CRIMINAL_BREACH_OF_TRUST,CHEATING,COUNTERFIETING,ARSON,HURT_GREVIOUS_HURT,DOWRY_DEATHS,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,INSULT_TO_MODESTY_OF_WOMEN,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,CAUSING_DEATH_BY_NEGLIGENCE,"OTHER IPC_CRIMES",TOTAL_IPC_CRIMES
PUDUCHERRY,2004,0.97,86.55,479,1038,25,18,14,4,0,4,10,8,2,0,0,1,86,634,322,312,147,7,35,2,9,974,6,50,30,2,0,176,2390,4620
"ARUNACHAL PRADESH",2005,1.09,66.95,83743,993,81,37,5,35,0,35,58,39,19,23,0,77,263,531,119,412,23,36,28,4,13,383,0,67,0,9,0,69,562,2304
ASSAM,2005,26.64,73.18,75438,935,1194,503,117,1238,0,1238,1751,1456,295,334,22,451,2255,6369,955,5414,2760,487,873,103,423,5906,99,899,19,2206,3,2695,11299,42006
BIHAR,2005,82.88,69.82,94163,919,3471,3307,259,1147,0,1147,2693,929,1764,1212,165,2374,3117,10812,2134,8678,7671,1181,1829,50,760,11939,1014,451,13,1574,74,2680,40057,97850
CHHATTISGARH,2005,20.8,71.04,135194,777,1013,660,41,990,0,990,246,184,62,204,25,401,3621,5600,1619,3981,893,110,431,73,214,3734,100,1450,132,732,0,2004,20959,43633
GOA,2005,1.34,87.4,3702,961,45,15,5,20,0,20,17,12,5,2,0,28,265,495,185,310,45,50,58,6,12,155,2,30,8,11,0,209,641,2119
HARYANA,2005,21.08,76.64,44212,861,784,513,57,461,0,461,492,344,148,88,138,390,3437,8694,5034,3660,899,562,1204,31,119,4569,212,380,597,2075,0,1083,15879,42664
"HIMACHAL PRADESH",2005,6.08,83.78,55673,968,110,79,22,141,0,141,118,102,16,6,0,22,696,696,166,530,558,82,163,6,97,1359,2,286,29,228,0,480,7165,12345
"JAMMU & KASHMIR",2005,10.07,67.16,42241,892,647,905,37,201,0,201,748,658,90,13,0,116,1397,1901,504,1397,1222,117,403,29,240,355,5,830,371,76,0,462,10040,20115
JHARKHAND,2005,26.91,66.4,79714,941,1523,1084,87,753,5,748,621,283,338,592,49,732,1610,6195,1181,5014,2524,243,643,19,202,3078,257,293,36,590,4,1490,12550,35175
