STATE_UT,YEAR,POPULATION_IN_MILIONS,"AVERAGE_LITERACY_RATE_IN %",AREA(KM2),SEX_RATIO,MURDER,ATTEMPT_TO_MURDER,CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,RAPE,CUSTODIAL_RAPE,OTHER_RAPE,KIDNAPPING_&_ABDUCTION,KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,KIDNAPPING_AND_ABDUCTION_OF_OTHERS,DACOITY,PREPARATION_AND_ASSEMBLY_FOR_DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,OTHER_THEFT,RIOTS,CRIMINAL_BREACH_OF_TRUST,CHEATING,COUNTERFIETING,ARSON,HURT_GREVIOUS_HURT,DOWRY_DEATHS,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,INSULT_TO_MODESTY_OF_WOMEN,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,CAUSING_DEATH_BY_NEGLIGENCE,"OTHER IPC_CRIMES",TOTAL_IPC_CRIMES
"DELHI UT",2006,13.79,86.34,1484,866,952,1020,150,1246,0,1246,2884,2132,752,28,400,1082,3900,34996,18732,16264,174,884,4626,84,66,3636,274,1436,288,3456,0,734,53610,115926
"ANDHRA PRADESH",2007,75.74,66.4,162975,978,2665,1885,135,1070,0,1070,2097,1564,533,170,6,614,7677,24391,6183,18208,1998,869,8103,224,1176,46122,613,4406,3316,11335,0,12629,43586,175087
BIHAR,2007,82.89,69.82,94163,919,3034,3113,257,1555,0,1555,2530,1260,1270,686,78,1787,3259,11795,2392,9403,7962,1326,2358,79,865,16288,1172,853,12,1635,56,3789,44931,109420
GUJARAT,2007,50.61,79.31,196024,920,1166,494,21,316,0,316,1312,1089,223,245,10,1095,4870,18164,8022,10142,1668,1139,1116,286,330,10989,42,822,120,5827,0,4831,68332,123195
KARNATAKA,2007,52.74,75.6,191791,965,1538,1251,55,436,1,435,680,390,290,178,242,1313,5449,14351,5887,8464,5783,400,3600,124,262,18963,251,1828,28,2507,0,514,60853,120606
KERALA,2007,31.85,93.91,38863,1058,367,402,92,512,0,512,255,177,78,121,157,869,4100,5609,2113,3496,7358,394,4215,54,398,18975,27,2624,262,3999,0,59,57681,108530
"MADHYA PRADESH",2007,60.4,70.63,308252,919,2244,2423,155,3010,0,3010,922,701,221,143,109,1975,11230,22396,8915,13481,2648,531,1661,38,909,36643,742,6772,780,3294,0,5754,98007,202386
MAHARASHTRA,2007,96.76,82.91,307713,922,2693,1615,113,1451,0,1451,1312,967,345,716,405,2770,15607,47681,13895,33786,7993,1715,6235,270,1267,29622,436,3306,1039,7356,0,11946,50159,195707
RAJASTHAN,2007,56.48,67.06,342239,921,1303,1772,64,1238,0,1238,2177,1694,483,71,81,778,5164,19345,8258,11087,1626,825,11919,56,675,19720,439,2477,28,8170,0,7096,63846,148870
"TAMIL NADU",2007,62.12,80.33,130058,987,1633,2078,28,523,0,523,1270,1097,173,88,33,495,3717,13217,2901,10316,2375,261,2510,74,653,16967,208,1540,875,1976,0,11485,110748,172754
